symbol,timestamp,open,high,low,close,volume
AMZN,2026-04-13T13:30:00+00:00,237.45,240,235.75,239.89,42166200
AMZN,2026-04-14T13:30:00+00:00,241.78,252.18,241.78,249.02,72685000
AMZN,2026-04-15T13:30:00+00:00,249.25,250.44,247.2,248.5,43045200
AMZN,2026-04-16T13:30:00+00:00,248.51,250,244.2,249.7,41895700
AMZN,2026-04-17T13:30:00+00:00,254.99,256.18,250.11,250.56,52029300
AMZN,2026-04-20T13:30:00+00:00,249.19,250.18,245.37,248.28,39463100
AMZN,2026-04-21T13:30:00+00:00,255.09,255.09,249.1,249.91,42922400
AMZN,2026-04-22T13:30:00+00:00,252.44,255.94,250.33,255.36,36065100
AMZN,2026-04-23T13:30:00+00:00,255.39,258.79,253.07,255.08,39091400
AMZN,2026-04-24T13:30:00+00:00,259.98,264.5,257.69,263.99,53777400
AMZN,2026-04-27T13:30:00+00:00,263.46,264.15,260.34,261.12,44906800
AMZN,2026-04-28T13:30:00+00:00,258.39,261.03,256.63,259.7,42204400
AMZN,2026-04-29T13:30:00+00:00,257.99,265.91,257.7,263.04,72367900
AMZN,2026-04-30T13:30:00+00:00,273.17,273.88,256.16,265.06,100974900
AMZN,2026-05-01T13:30:00+00:00,265.58,273.32,262.74,268.26,50825200
AMZN,2026-05-04T13:30:00+00:00,268.8,276.1,268.8,272.05,49083700
AMZN,2026-05-05T13:30:00+00:00,276.08,278.56,272.38,273.55,41908500
AMZN,2026-05-06T13:30:00+00:00,272.89,277.8,272.21,274.99,44552000
AMZN,2026-05-07T13:30:00+00:00,275.02,276.63,270.49,271.17,35892900
AMZN,2026-05-08T13:30:00+00:00,271.63,274,269.95,272.68,34732700
AMZN,2026-05-11T13:30:00+00:00,269.84,273.63,268.48,268.99,38176700
AMZN,2026-05-12T13:30:00+00:00,266.71,267.65,262.63,265.82,36776200
AMZN,2026-05-13T13:30:00+00:00,264.43,270.72,263.2,270.13,39670900
AMZN,2026-05-14T13:30:00+00:00,269.15,270.78,266.63,267.22,31338400
AMZN,2026-05-15T13:30:00+00:00,262.5,264.36,260.89,264.14,40770300
AMZN,2026-05-18T13:30:00+00:00,263.87,268.85,262.53,264.86,33690800
AMZN,2026-05-19T13:30:00+00:00,262.04,262.25,255.19,259.34,40340700
AMZN,2026-05-20T13:30:00+00:00,260.05,265.58,259.53,265.01,34933200
AMZN,2026-05-21T13:30:00+00:00,263.5,269.49,261.37,268.46,36591700
AMZN,2026-05-22T13:30:00+00:00,268.66,269.79,266.24,266.32,27535500
AMZN,2026-05-26T13:30:00+00:00,267.94,269.3,262.07,265.29,38028100
AMZN,2026-05-27T13:30:00+00:00,266.15,272.41,265.7,271.85,40061900
AMZN,2026-05-28T13:30:00+00:00,272.27,274.5,267.44,274,40630400
AMZN,2026-05-29T13:30:00+00:00,271.29,274.75,269.64,270.64,54749600
AMZN,2026-06-01T13:30:00+00:00,266.29,266.63,260.7,261.26,53604400
AMZN,2026-06-02T13:30:00+00:00,257.16,261.2,254.37,256.52,41811000
AMZN,2026-06-03T13:30:00+00:00,254.7,257.09,247.71,250.02,51394200
AMZN,2026-06-04T13:30:00+00:00,253.12,255.83,251.75,253.79,35609800
AMZN,2026-06-05T13:30:00+00:00,254.26,256.38,245.78,246.03,55607800
AMZN,2026-06-08T13:30:00+00:00,246.68,249.42,243.36,245.22,33899500
AMZN,2026-06-09T13:30:00+00:00,247.73,250.43,240.4,244.19,44425400
AMZN,2026-06-10T13:30:00+00:00,243.61,244.07,237.45,238,38590200
AMZN,2026-06-11T13:30:00+00:00,237.93,242.14,235.18,241.51,41335400
AMZN,2026-06-12T13:30:00+00:00,243.21,243.36,233.59,238.55,51186600
AMZN,2026-06-15T13:30:00+00:00,245.02,247.81,244.73,246.02,41711600
AMZN,2026-06-16T13:30:00+00:00,248,249.51,245.45,246,35187400
